IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;ATTRIB_RESS_NUM;DATE_DECLARATION_OPERATEUR
Geco-IT;GECO;"514969815 00034";Avignon;"1017 ROUTE DU THOR 84800 L ISLE-SUR-LA-SORGUE";0;31/10/2017
Gelos;GELS;"894566785 00016";Evreux;"2247 VOIE DE L OREE 27100 VAL DE REUIL";0;15/12/2021
"Genesys cloud services BV";GTLB;;"808186838 Chambre de commerce des Pays-Bas";"GOOIMEER 6 02 1411 DD NAARDEN PAYS-BAS";1;29/03/2018
Genuxsys;GENU;"514974641 00029";DRAGUIGNAN;"34 RUE SOUS-VILLE 83570 CARCES";0;11/10/2013
"Geo telephonie";GEOT;"800545212 00014";Quimper;"48 QUAI DE L ODET 29000 QUIMPER";0;19/03/2014
"Geocommunication & networks";GEOW;"534811559 00028";Evry;"18 RUE GUSTAVE EIFFEL 91100 CORBEIL-ESSONNES";0;07/09/2022
Geolid;GOLD;"504430612 00144";Lyon;"373 RUE GARIBALDI 69007 LYON";0;02/05/2024
"Gers fibre";GEFI;"899472153 00019";Auch;"1 RUE MARCEL LUQUET 32000 AUCH";0;17/06/2021
"Gers num\xe9rique";GERS;"200039279 00043";"Pr\xe9fecture du Gers";"47 AV SAMBRE ET MEUSE 32000 AUCH";0;12/05/2016
"Gestion informatique domotique management";GIDM;"818595639 00019";"Pointe \xe0 Pitre";"APPT. 77 RESIDENCE LES SAINTES SECTION CARUEL 97139 LES ABYMES";0;27/07/2021
"Get & go telecom";GETG;"829022193 00025";Metz;"4 RUE MARCONI BP 25180 57075 METZ CEDEX 03";1;14/04/2017
GH-NET;GHNT;"937706513 00010";Soissons;"31 RUE DE LA TERRIERE 02200 SOISSONS";1;26/11/2024
"Giacom (Worldwide) Ltd";GIAC;;"4290183 Angleterre";"MILTON GATE 60 CHISWELL STREET EC1Y 4AG LONDON ROYAUME-UNI";0;03/05/2024
Gimmick;GIMM;"451388748 00027";Auch;"27B RUE VICTOR HUGO 32300 MIRANDE";0;20/02/2020
"GIP Vend\xe9e num\xe9rique";VENU;"130018559 00018";"LA ROCHE SUR YON";"GIP VENDEE NUMERIQUE 40 RUE DU MARECHAL FOCH 85000 LA ROCHE SUR YON";1;16/09/2014
"Gironde Tr\xe8s Haut D\xe9bit";GTHD;"817389562 00015";Bordeaux;"22 RUE DU CHATEAU D EAU 33000 BORDEAUX";0;28/02/2018
Glaucos;GLCS;"905198792 00012";Evreux;"2247 VOIE DE L'OREE 27100 VAL-DE-REUIL";0;09/03/2023
"Global connect";GACT;"825178353 00017";Angers;"6 PLACE DU DOCTEUR BICHON 49100 ANGERS";0;09/09/2020
"Global premium telecom B.V.";GLPT;;"71556966 Enschede";"7 MR TREUBLAAN 1097DP AMSTERDAM NOORD HOLLAND PAYS-BAS";0;09/06/2020
"Global server telecom BV";GLST;;"73293792 Amsterdam (Pays-Bas)";"KINGSFORDWEG 151 1043GR AMSTERDAM PAYS-BAS";1;06/10/2020
"Global UC Inc.";GLUC;;"46-4075050 Ohio, Etats-Unis";"5273 DILLON CIRCLE 76137 HALTOM CITY TX ETATS-UNIS";0;26/09/2023
"Globalstar Europe";GLOB;"442427498 00013";Paris;"CHEZ ABC LIV 37 RUE DES MATHURINS 75008 PARIS";1;14/11/2002
Globaltel;GLOA;"494371362 00034";VERSAILLES;"18 RUE ALBERT BRIAND BP 4453 97500 SAINT PIERRE";1;09/11/2009
"GMX Multimedia";GMXM;"934740085 00014";Paris;"60 RUE FRANCOIS IER 75008 PARIS";1;21/02/2025
"Go Mybiz France";GMBZ;"988151866 00015";Versailles;"AFIGEC 18 RUE SAINT-VINCENT 78100 SAINT-GERMAIN-EN-LAYE";0;01/07/2025
"Google Cloud France";GGCF;"881721583 00014";Paris;"8 RUE DE LONDRES 75009 PARIS";1;17/07/2023
"Goto technologies Ireland unlimited";GTTI;;"512618 Irish Registration Number";"GRAND CANAL DOCKLANDS 77 SIR JOHN ROGERSON'S QUAY - BLOCK C, SUITE 207 D02 VK60 DUBLIN 2 IRLANDE";1;17/08/2022
GPconnect;GPCN;"953718103 00013";Pointe-\xe0-Pitre;"DOUVILLE ROUTE DE FOND VAPEUR 97180 SAINTE ANNE";1;31/08/2023
"Gradwell communications";GRDW;;"03673235 Royaume-Uni";"TRIMBRIDGE HOUSE TRIM STREET BA1 1HB BATH ROYAUME-UNI";1;19/07/2023
"GRAND DAX TRES HAUT DEBIT";GDHD;"529193468 00020";DAX;"RUE JEAN ODDOS 40990 SAINT-PAUL-LES-DAX";0;27/03/2013
"Graphnet France";GRFR;"378967962 00044";Paris;"155 BOULEVARD HAUSSMANN 75008 PARIS";1;09/05/2018
"GRAVELINES NETWORK";GRNE;"511226441 00059";Nanterre;"124 BOULEVARD DE VERDUN 92400 COURBEVOIE";0;11/08/2010
"Green cube technologies";GRCT;"814252888 00015";Melun;"45 RUE PASTEUR 77590 BOIS-LE-ROI";0;24/04/2018
Gressier;GRSR;"913709424 00018";Nice;"BAT A 4 RUE BOERS 06100 NICE";0;21/06/2022
"Grid telecom";GRID;"823293600 00032";AIX-EN-PROVENCE;"LE MERCURE B 80 RUE CHARLES DUCHESNE 13290 AIX-EN-PROVENCE";0;26/10/2016
"Groupama supports et services";GRSS;"410546956 00013";Paris;"8-10 RUE D ASTORG 75008 PARIS";0;08/02/2017
"Groupe ADS Numeric";ADSN;"827575945 00023";Nanterre;"24 RUE RIVAY 92300 LEVALLOIS PERRET";0;09/07/2023
"Groupe Agitel";GRAG;"521506055 00024";Paris;"67 RUE DE BUZENVAL 75020 PARIS";1;21/03/2016
"Groupe Allians";ALNS;"847590015 00016";Fr\xe9jus;"745 RUE DU CAPITAINE RENE BLAZY 83600 FREJUS";0;08/09/2023
"Groupe Allo-Media";GPAM;"531163210 00051";Paris;"1 RUE DE STOCKHOLM 75008 PARIS";1;15/05/2018
"Groupe BFR business";BFRB;"849726898 00018";"Le Mans";"25 RUE NATIONALE 72230 GUECELARD";1;15/04/2019
"Groupe convergence.com";GCCO;"440094373 00030";Niort;"17 BOULEVARD ALFRED DE VIGNY BP 129 79104 THOUARS CEDEX";1;25/01/2013
"Groupe cyclope";CYCL;"832319941 00015";Nanterre;"26 RUE PIERRE SEMARD 92320 CHATILLON";0;23/09/2021
"GROUPE CYRES";CYRE;"442155818 00028";Tours;"19 RUE EDOUARD VAILLANT 37000 TOURS";0;28/04/2010
"Groupe Innovance";NMEV;"451029581 00068";Meaux;"1 RUE DE LA FONTAINE 77700 SERRIS";0;02/01/2025
"Groupe LT";GRLT;"809009293 00022";Cr\xe9teil;"1 AVENUE DE L EUROPE 94320 THIAIS";0;17/11/2020
"Groupe S.E.";GRSE;"519222145 00012";Paris;"266 AVENUE DAUMESNIL 75012 PARIS";0;30/08/2018
"Groupe telecoms de l'Ouest";GPTO;"480892868 00021";"La Rochelle";"ZA DES RIVAUDS SUD LALEU 31 RUE ROBERT GEFFRE 17000 LA ROCHELLE";0;14/09/2007
"Groupe thym business";THYM;"532117058 00026";Lyon;"8 AVENUE DU 11 NOVEMBRE 1918 69200 VENISSIEUX";0;06/07/2022
"Groupe VIP Telecom";GVPT;"920906245 00013";Paris;"49 RUE DE PONTHIEU 75008 PARIS";0;13/03/2023
"GROUPEMENT D INTERET PUBLIC GIGALIS";SMPL;"254402530 00011";;"H\xd4TEL DE LA R\xc9GION DE PAYS DE LOIRE 1 RUE DE LA LOIRE 44966 NANTES CEDEX 9";0;06/12/2007
"GS Communication";GSCO;"398511972 00018";Cannes;"196 CHE DES HORTS DE LA SALLE 06250 MOUGINS";1;21/10/2009
"GTS France";GTSF;"908212145 00027";Versailles;"20-22 RUE GRANGE DAME ROSE 78140 VELIZY VILLACOUBLAY";1;04/05/2023
"GTSD holding";GTSD;"842744757 00019";Nanterre;"4 AVENUE HENRI DE LATOUCHE 92290 CHATENAY MALABRY";0;16/06/2023
"GTT Communications France";EASY;"402335137 00079";Nanterre;"100-101 TERRASSE BOIELDIEU 92800 PUTEAUX";1;06/08/1999
"Guadeloupe digital";GUDI;"879400307 00028";;"42 RUE HENRI BECQUEREL JARRY 97122 BAIE-MAHAULT";0;21/11/2019
"GUENOT Gabriel";VULP;"921905303 00019";Paris;"122 RUE AMELOT 75011 PARIS";0;16/12/2022
Guyacom;GUYA;"487861817 00038";Cayenne;"RES. PETIT CHALET - CHATONS 56 AVENUE LOUIS PASTEUR 97300 CAYENNE";1;22/08/2006
HaiSoft;HSFT;"451475651 00035";Orl\xe9ans;"7 RUE VIEILLE LEVEE 45100 ORLEANS";1;07/09/2023
Halia-Network;HLNW;"987784196 00014";Paris;"74 RUE DE LA TOUR 75016 PARIS";0;14/05/2024
Halys;HALY;"447898081 00032";;"28 RUE ROSENWALD 75015 PARIS";1;09/12/2011
"HAMADI Mehdi";BLCK;"900173501 00041";Vienne;"174 AVENUE FRANCOIS MITTERRAND 38670 CHASSE SUR RHONE";0;28/01/2023
"Happy telecom";HAPP;"829118074 00030";PARIS;"7 RUE MEYERBEER 75009 PARIS";1;31/05/2017
Hatemis;HTMS;"481764868 00073";"Lille M\xe9tropole";"PARC DES MOULINS 5 AVENUE DE LA CREATIVITE 59491 VILLENEUVE D ASCQ";0;29/09/2020
"Haute Sa\xf4ne Fibre";HASF;"833781073 00022";VESOUL;"4 RUE MAGINOT 70000 VESOUL";0;03/02/2021
"Haute-Garonne num\xe9rique";HGNU;"200062628 00017";;"BATIMENT C 1 BOULEVARD DE LA MARQUETTE 31090 TOULOUSE";1;23/04/2018
"Hautes-Pyr\xe9n\xe9es Num\xe9rique";HPNU;"520326133 00011";Versailles;"1 AVENUE EUGENE FREYSSINET 78280 GUYANCOURT";1;29/03/2010
"Hawkix SI";HWKX;"519746507 00028";Caen;"20 RUE DU CHEMIN VERT 14400 BAYEUX";0;28/06/2022
HEAPSYS;HEAP;"443163761 00036";NANTES;"42 RUE LA TOUR D'AUVERGNE 44200 NANTES";0;25/06/2013
HEConcept;HECP;"801047952 00016";Thionville;"71 RUE PRESIDENT ROOSEVELT 57970 YUTZ";0;16/01/2017
H\xe9liantis;HELI;"392747606 00037";Pau;"20 RUE JOHANNES KEPLER 64000 PAU";1;21/01/2008
"H\xe9rault THD";DSPT;"825117880 00021";Nanterre;"IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE 92310 SEVRES";0;22/12/2017
"Hexacom op\xe9rateur";HEOM;"515100162 00020";Bobigny;"2-6 AVENUE HENRI BARBUSSE 93000 BOBIGNY";0;08/06/2016
Hexalan;HXLN;"984393157 00016";Bordeaux;"39 ALLEE SUFFREN 33138 LANTON";0;24/05/2024
Hexanet;HEXA;"487555682 00011";Beauvais;"AV DES CENSIVES 60000 TILLE";1;10/10/2006
Hexatel;HETE;"523252765 00129";Rennes;"PARC D ACTIVITES DES VENTS D OUEST 2 RUE ALAIN COLAS 35530 NOYAL-SUR-VILAINE";1;17/04/2012
"Hexawin sud-est";HXSE;"791091622 00013";Salon;"1111 AVENUE VICTOR HUGO 13122 VENTABREN";0;16/06/2021
Hezen;HEZN;"900481433 00010";"900 481 433";"6 RUE D ARMAILLE 75017 PARIS";0;25/10/2021
"HI-TECH DEPANNE";HITE;"510338254 00020";NARBONNE;"16 RUE BAUDIN 11100 NARBONNE";0;21/05/2013
Hibou;HIBO;"831031414 00012";N\xeemes;"124 IMPASSE DU DOCTEUR CALMETTE 30000 NIMES";0;06/02/2020
"High com";HICO;"852748433 00012";Marseille;"IMMEUBLE QUANTA 60 AVENUE ANDRE ROUSSIN 13016 MARSEILLE";0;27/11/2019
"High connexion";HIGH;"502539794 00052";Lyon;"9 AVENUE DES SAULES 69600 OULLINS";1;22/03/2010
"High Tech-Ouest";HIOU;"528804586 00014";Nantes;"20 RUE DES PERRINES 44300 NANTES";1;23/02/2012
"HOLLINGER Fran\xe7ois";FHRP;"882646193 00020";Dijon;"18 BD MARECHAL LECLERC 21240 TALANT";0;15/01/2024
HP3I;HP3I;"479661621 00025";Versailles;"LOTISSEMENT 16 3 RUE DE LA CROISEE VERTE 78240 CHAMBOURCY";0;02/07/2018
"HR telecoms";HRTE;"789256740 00034";Caen;"8 RUE DES BOURRELIERS 14123 IFS";0;07/12/2017
"Hub One";HUBT;"437947666 00131";BOBIGNY;"MERCURE CONTINENTAL SQUARE 1 2 PLACE DE LONDRES 93290 TREMBLAY-EN-FRANCE";1;03/07/2001
Hubahub;FAIT;"983355389 00013";"La Roche-sur-Yon";"1 IMPASSE DE LA LANDE 85140 LES ESSARTS";0;24/01/2024
"i convergence";ICNV;"823206180 00023";Paris;"5 RUE CREVAUX 75016 PARIS";0;02/10/2024
"I-print business solutions";IPBS;"808472781 00075";Antibes;"SOPHIA ANTIPOLIS - PORTE 19 BAT B 2791 CHEMIN SAINT BERNARD 06220 VALLAURIS";0;03/07/2020
I-via;IVIA;"535100713 00010";Montpellier;"199 RUE HELENE BOUCHER 34170 CASTELNAU LE LEZ";1;16/07/2013
I.T.I.;ITTI;"803815455 00024";Paris;"42 RUE MONGE 75005 PARIS";1;07/01/2015
I2TConnect;I2TC;"887677979 00015";Castres;"79 AVENUE DE CASTRES 81210 ROQUECOURBE";0;30/07/2020
IAF;IAFR;"513569053 00038";Meaux;"27 RUE ALFRED NOBEL 77420 CHAMPS-SUR-MARNE";0;14/09/2017
Iagility;IAGI;"817542657 00025";Paris;"20 RUE LOUIS ARMAND 75015 PARIS";1;15/03/2016
"iBASIS France";SFRI;"838578672 00035";PARIS;"112 AVENUE KLEBER 75116 PARIS";1;03/07/2018
Ibatys;IBAT;"892585019 00011";Douai;"APT 16 109 LEFEBRE D ORVAL 59500 DOUAI";0;20/10/2022
"Iberia Voz & Data SL";IBRA;;"B75528471, Alicante, Espagne";"CALLE BENLLIURE 2 03530 LA NUCIA ALICANTE ESPAGNE";0;13/04/2025
Ibrowse;IBRO;"493712194 00031";Paris;"15 RUE MARSOLLIER 75002 PARIS";1;10/05/2007
"ICC CRM 80";ICAL;"409709342 00045";Amiens;"42 RUE RIOLAN 80000 AMIENS";1;06/01/2005
Icone;ICNE;"398518860 00083";Salon-de-Provence;"ZA L ANJOLY 92 BOULEVARD DE L EUROPE 13127 VITROLLES";0;04/03/2019
ICS;ICS0;"533680849 00015";MARSEILLE;"19/21 BOULEVARD TELLENE 13007 MARSEILLE";0;02/09/2016
"Id 3000";ID30;"432494433 00019";NICE;"34 RUE AUGUSTE GAL 06300 NICE";0;09/07/2021
Id2son;ID2S;"818503617 00024";Lyon;"IMMEUBLE LE 380 30 RUE MARGUERITE 69100 VILLEURBANNE";0;16/12/2019
"IDCI R\xe9seau";IDCI;"889302691 00015";VALENCE;"297 CHEMIN DU GRAND VALLAT 26790 SUZE LA ROUSSE";0;10/01/2023
"Ideal solutions";IDNS;"837699057 00019";Chalon-sur-Sa\xf4ne;"12 RUE ALFRED KASTLER 71530 FRAGNES-LA-LOYERE";0;27/02/2018
Idelio;3620;"449346089 00021";Nantes;"25 AVENUE DE LA VERTONNE 44120 VERTOU";1;29/12/2004
IDENOVIA;IDEN;"530399583 00018";STRASBOURG;"48A ALLEE DE LA ROBERTSAU 67000 STRASBOURG";0;16/10/2012
"Idi informatique";IDIE;"801880451 00019";Poitiers;"31 BIS RUE GAMBETTA 86190 VOUILLE";0;29/11/2019
Idinfo;IDIN;"848181129 00018";Besan\xe7on;"ZA LES BANARDES 2 RUE DU PRELOT 25800 VALDAHON";0;14/01/2020
Idline;INPC;"411678972 00026";Poitiers;"ZIN 3 86 AVENUE MARYSE BASTIE BP 90150 16340 L'ISLE D'ESPAGNAC CEDEX";1;25/01/2007
"Idom technologies";IDOM;"442771044 00041";"Saint Denis";"TECHNOPOLE REUNION - STE CLOTILDE 7 RUE HENRI CORNU 97490 SAINT-DENIS";1;23/06/2006
"Ielo-liazo services";LIAZ;"517541983 00055";Paris;"50 TER RUE DE MALTE 75011 PARIS";0;14/08/2012
Ifalou;IFAL;"490050234 00023";Alen\xe7on;"9 RUE DE L EGLISE - LONGNY AU PERCHE 61290 LONGNY LES VILLAGES";0;31/08/2021
"IFN.com Inc. dba";IFNC;;"Los Angeles, California, USA";"13005 ARTESIA BOULEVARD 90703 CERRITOS CA ETATS-UNIS";0;31/10/2022
"iHub 2 Ltd";IHUB;;"09626588 London United Kingdom";"GROUND FLOOR PORTLAND HOUSE 54 NEW BRIDGE STREET WEST NE1 8AP NEWCASTLE UPON TYNE ROYAUME-UNI";1;22/06/2023
Ikacom;IKAC;"824524490 00011";Paris;"6 RUE DE MUSSET 75016 PARIS";1;16/03/2017
Iko-solutions;IKOI;"523576718 00036";Lyon;"58 CHEMIN DE LA BRUYERE 69570 DARDILLY";0;16/02/2018
"IKOULA NET";IKOU;"417680618 00036";Nanterre;"175 RUE D AGUESSEAU 92100 BOULOGNE BILLANCOURT";0;12/09/2007
Imereos;IMRS;"534359252 00036";Toulouse;"3 RUE APOLLO 31240 L'UNION";0;25/08/2022
"Immersion t\xe9l\xe9com";IMMT;"928165711 00013";N\xeemes;"8 RUE DE BERNE 30000 NIMES";1;13/05/2024
"Immersion totale";MMRS;"900221904 00015";Nimes;"539  AVENUE JEAN PROUVE 30900 NIMES";1;27/02/2024
Imp-360;I360;"417705175 00046";Pontoise;"ZAC DU MOULIN 2 RUE DU NOYER - BAT A1 CS 17328 95705 ROISSY EN FRANCE CEDEX 1";0;16/07/2021
"IMS dynamics";IMSD;"804808004 00027";Cr\xe9teil;"1 AVENUE DE CLUNY 94100 SAINT-MAUR-LES-FOSSES";1;05/11/2014
"IMS Networks";IMSN;"814030854 00016";Castres;"9 AVENUE DE LA MONTAGNE NOIRE 81100 CASTRES";0;05/01/2016
Imtel;IMTL;"450864137 00028";Reims;"3 RUE LEON PATOUX 51100 REIMS";0;16/03/2024
"in2com Limited";IN2T;;"397657 Dublin, Ireland";"UNIT 12 VIRGINIA SHOPPING CENTRE AB2 EW0 VIRGINIA IRLANDE";0;12/01/2023
INCIRRATA;NCRR;"878927623 00024";"Le Mans";"32 RUE DE LA GRANDE PREE 72190 LE MANS";0;26/05/2025
inContact;INCT;;7640368;"10 JOHN STREET WC1N 2EB LONDON ROYAUME-UNI";0;18/06/2013
"InContact Inc.";INCO;;5243339-0143;"TOWER 1 75 WEST TOWNE RIDGE PARKWAY UT 84070 SANDY UTAH ETATS-UNIS";0;31/12/2022
"Ineo D\xe9fense";INED;"323459974 00073";;"INOVEL PARC SUD 23 RUE GENERAL VALERIE ANDRE CS 80526 78457 VELIZY VILLACOUBLAY";0;26/07/2016
INEONET;INEO;"451152862 00038";Foix;"PARC T DELTA SUD 09340 VERNIOLLE";0;19/01/2011
"Infinity bureautique";INFB;"497990226 00035";Aubenas;"115 RUE GUSTAVE EIFFEL 07500 GUILHERAND GRANGES";0;27/02/2023
"Infinity telecom";ITPH;"793655283 00018";PARIS;"C/O MGT-JYN 32 BOULEVARD DE VAUGIRARD 75015 PARIS";1;21/06/2013
"Infinity tracking Ltd";TRCK;;"07192131 (https://find-and-update.company-information.service.gov.uk/company/07192131)";"LONDON COURT 39 LONDON ROAD RH2 9AQ REIGATE ROYAUME-UNI";1;07/11/2022
Infinivox;INOX;"848786869 00026";"Lille M\xe9tropole";"52 RUE DE L'ALCAZAR 59800 LILLE";1;23/11/2020
"Infocom racc";NFCR;"842931909 00019";Narbonne;"10 AVENUE DE TOULOUSE 11100 NARBONNE";0;14/11/2022
Infoconfig;INIG;"510713670 00022";Marseille;"248 AVENUE DE SAINT ANTOINE 13015 MARSEILLE";0;21/06/2017
Infogenius;INFG;"949002026 00019";Castres;"LE PLO DE LA JASSE 81540 LES CAMMAZES";0;30/05/2025
Infoline;INNE;"533347688 00012";Paris;"33 AVENUE DU MARECHAL FAYOLLE 43200 YSSINGEAUX";1;12/11/2014
Infomotiv;INIV;"520158783 00032";Nice;"RESIDENCE HOME 2 124 AVENUE LEON BERENGER 06700 SAINT-LAURENT-DU-VAR";0;09/01/2015
Informeo;NFRM;"533681987 00012";ALBI;"13 CHEMIN DE RANTEIL 81000 ALBI";0;08/09/2023
Infotelecom;INLE;"452146301 00067";Perpignan;"665 AVENUIE JULIEN PANCHOT 66000 PERPIGNAN";0;21/11/2017
"Infra nfc";INFC;"901205658 00015";BELFORT;"1 RUE DU DOCTEUR FRERY CS 50199 90000 BELFORT 90004 BELFORT CEDEX";0;05/08/2021
"Infracom communications AB";ICMM;;"559046-6537 Su\xe8de";"GAMLESTADSVAGEN 1 415 11 GOTHENBURG SUEDE";0;31/03/2023
Infralis;IFLS;"922039623 00017";Besan\xe7on;"IMMEUBLE LE PULSAR 4 CHEMIN DE L'ERMITAGE 25000 BESANCON";0;15/12/2022
Ingecap;INGE;"489424663 00040";Metz;"2 RUE AUGUSTIN FRESNEL 57070 METZ";0;18/05/2017
Inicio;INIC;"518444898 00028";"Lille M\xe9tropole";"1 ALLEE DES ECURIES 59493 VILLENEUVE D ASCQ";0;18/06/2018
"INMARSAT LIMITED";IMMA;;3675885;"50 FINSBURY SQUARE EC2A 1HD LONDRES ROYAUME-UNI";0;15/06/2005
Innecto;INNO;"790427405 00010";Versailles;"4 CHEMIN DES QUATRE ARPENTS 78330 FONTENAY-LE-FLEURY";1;21/06/2016
InnoTTank;ITTK;"933451528 00014";Cr\xe9teil;"4 RUE DU GUE 94240 L'HAY-LES-ROSES";0;09/12/2024
Innovsi;INNV;"820502524 00011";Pontoise;"45 RUE DU CLOS MAITRE 95230 SOISY-SOUS-MONTMORENCY";0;22/07/2022
"Ino telecom";INOT;"498454412 00020";Toulouse;"IMMEUBLE LE TRITE - ZA TRIASIS RUE LAVOISIER 31140 LAUNAGUET";0;17/09/2018
INOLIA;INOL;"491879094 00010";Nanterre;"3 RUE DU DOCTEUR GABRIEL PERY 33300 BORDEAUX";0;25/09/2006
"Inopla GmbH";INOP;;"HRB 59545 Amtsgericht D\xfcsseldorf";"REISHOLZER WERFTSTRASSE 31 40589 DUESSELDORF ALLEMAGNE";0;28/01/2019
"Inquarto online";INON;"538757600 00019";Marseille;"CITE DE LA COSMETIQUE 2 RUE ODETTE JASSE 13015 MARSEILLE";0;20/10/2016
Integraphone;INGR;"482642576 00037";Meaux;"IMMEUBLE BUROPARC 31 RUE JEAN MOULIN 77200 TORCY";1;01/03/2012
"Intelepeer cloud communications LLC";ITPR;;"5418770 Delaware, Etats-Unis";"SUITE A200 1855 GRIFFIN ROAD 33004 DANIA BEACH ETATS-UNIS";0;19/03/2024
Intermediasud;ITMS;"414273219 00025";Castres;"9 AVENUE DE LA MONTAGNE NOIRE 81100 CASTRES";0;30/10/2003
INTERWAY;INTW;"389671165 00022";Salon;"BATIMENT 3 MINI PARC DE L ANJOLY 6 VOIE D ANGLETERRE 13127 VITROLLES";0;26/08/2010
INTRINSEC;INTR;"402336085 00053";NANTERRE;"IMMEUBLE LE CLEMENCEAU 215 AVENUE GEORGES CLEMENCEAU 92000 NANTERRE";0;08/08/2013
Intuidis;INTU;"511846750 00038";Nantes;"2 RUE JULES VERNE 44400 REZE";0;27/06/2014
Intuitel;INTI;;"1/275/727 Alicante Espagne";"ESC DCHA ENTLO OFICINA 1 CALLE MORATIN 21 03008 ALICANTE ALICANTE ESPAGNE";0;22/03/2023
"Investissement dans la fibre des territoires";IFTR;"852619352 00036";Paris;"14 RUE CAMBACERES 75008 PARIS";0;12/09/2019
"Iot start";IOTS;"918054560 00019";Paris;"14 RUE SAINT MERRI 75004 PARIS";0;30/08/2022
"Iovox Ltd";IOVO;;06057954;"4-6 CANFIELD PLACE NW6 3BT LONDON ROYAUME-UNI";1;06/09/2012
"IP ACS";IPAC;"443582796 00035";PARIS;"21 RUE DE F\xc9CAMP 75012 PARIS";0;18/10/2012
"IP Directions";IPDI;"490818556 00022";Paris;"32 RUE DE MOGADOR 75009 PARIS";1;26/09/2006
"IP focus";IPFO;"483433900 00030";Cr\xe9teil;"15-19 RUE LEON GEFFROY 94400 VITRY-SUR-SEINE";0;09/10/2018
"IP maintenance";IPMA;"827690389 00016";Cr\xe9teil;"29-31 RUE DU BOIS GALON 94120 FONTENAY-SOUS-BOIS";0;18/06/2018
"IP River Limited";IPRI;;"7729747 au Registar of Companies for England/Wales";"UNIT 7 COOPER WAY - PARKHOUSE CA3 0JG CARLISLE ROYAUME-UNI";0;10/02/2020
"IP telecom Bulgaria Ltd";IPTB;;"201274344 \xe0 l'Agence d'enregistrement de Bulgarie";"OFFICE 211 16 VASIL LEVSKI STR. 8000 BURGAS BULGARIE";1;01/10/2020
IP3G;IP3G;"490792355 00037";"La Roche-sur-Yon";"IMPASSE JEAN MOUILLADE 85000 LA ROCHE SUR YON";0;19/08/2021
IPCONNECT;IPCT;"752991554 00011";MONTPELLIER;"HOTEL D'ENTREPRISE DU MILLENAIRE 120 ALLEE JOHN NAPIER 34000 MONTPELLIER";0;04/10/2012
Ipefix;HTCG;"499714608 00027";PARIS;"4 RUE SEVERO 75014 PARIS";1;29/10/2007
"Iper Telecom";ITEL;"513919662 00025";"Fort de France";"6 RUE DES CYCLADES 97200 FORT DE FRANCE";1;11/08/2009
Ipeva;IPEV;"483234407 00045";Pontoise;"3 RUE FORT DE LA BRICHE 93200 SAINT DENIS";1;19/03/2010
IPGARDE;IPGA;"479525578 00015";Paris;"TOUR DE L HORLOGE 4 PLACE LOUIS ARMAND 75012 PARIS";0;06/05/2011
IPLINE;IPLI;"453075848 00045";Lyon;"LE TELYCA 189 CHEMIN DU BAC A TRAILLE 69300 CALUIRE";0;16/01/2008
"IPNAT SOLUTION";PNAT;"942957911 00012";Paris;"29 RUE TRONCHET 75008 PARIS";1;28/04/2025
Ipxtel;IPXT;"533089587 00034";Tours;"58 RUE GEORGE SAND 37000 TOURS";1;01/07/2011
IRT-network;IRTN;"823990858 00016";Avignon;"20 RUE DES GLAIEULS 84210 ALTHEN-DES-PALUDS";0;14/06/2019
"Is\xe8re fibre";ISER;"823227806 00028";Grenoble;"167 RUE DU MAYOUSSARD 38430 MOIRANS CEDEX";0;12/01/2017
ISI-COM;ISOM;"399637990 00066";Perpignan;"600 RUE FELIX TROMBE 66100 PERPIGNAN";1;24/01/2025
Isicom.com;ISIC;"433728706 00014";Compi\xe8gne;"112 AVENUE DE L EUROPE 60180 NOGENT-SUR-OISE";0;08/12/2021
"Isis communication";ISCO;"503218455 00049";Toulon;"LE NORECRIN-PARC ACTIVITES ESTAGNOL 334 IMPASSE LAVOISIER 83260 LA CRAU";0;10/10/2017
"Isis connect IP";ISIS;"979668316 00016";Cr\xe9teil;"TOUR ORIX 16 AVENUE JEAN JAURES 94600 CHOISY LE ROI";0;07/11/2023
Isitek;ISTK;"834553745 00011";PARIS;"101 RUE DE SEVRES 75006 PARIS";0;16/01/2023
"IT Breizh";ITBR;"524078888 00012";Nanterre;"1 RUE VOLTA 92800 PUTEAUX";0;15/06/2015
"IT Software";ITSW;"879873057 00035";Salon-de-Provence;"ZI ECOPOLIS SUD 3 ALLEE ANDRE MARIE AMPERE 13500 MARTIGUES";0;14/04/2023
"It work";ITWK;"844006346 00010";Marseille;"52 BOULEVARD DE LA LIBERATION 13001 MARSEILLE";0;09/06/2022
"It'tek t\xe9l\xe9com sas";ITTE;"793181330 00028";Nantes;"7 RUE ROLAND GARROS 44700 ORVAULT";0;04/08/2015
"ITA 2000";ITA2;"421387895 00020";Pontoise;"45 CHEMIN DEPARTEMENTAL 915 ZI DEMI LIEUE 45 RUE DE DIEPPE 95520 OSNY";0;19/04/2022
Itancia;ITAN;"433061975 00036";Nanterre;"69 RUE THOMAS LEMAITRE 92000 NANTERRE";0;18/10/2018
